"id","h_year","age","year_birth","height"
2520,1798,19,1779,52.00
2525,1798,49,1749,64.00
3737,1801,19,1782,64.00
7481,1793,40,1753,64.00
2517,1798,22,1776,63.00
1378,1796,59,1737,62.00
8807,1794,24,1770,60.00
5769,1792,18,1774,59.00
6946,1793,40,1753,65.00
8213,1794,22,1772,62.00
1394,1797,23,1774,63.00
8292,1794,37,1757,63.00
2521,1798,37,1761,64.00
4781,1791,40,1751,64.00
6723,1792,30,1762,62.00
1379,1796,30,1766,64.00
8104,1793,37,1756,56.00
7994,1793,32,1761,48.00
7995,1793,35,1758,64.00
8133,1793,22,1771,60.00
3736,1801,20,1781,60.00
1366,1795,40,1755,64.00
5215,1792,32,1760,64.00
3698,1800,37,1763,66.00
1375,1795,39,1756,63.00
7023,1793,34,1759,61.00
2523,1798,20,1778,69.00
1380,1796,42,1754,61.00
2488,1796,42,1754,61.00
6133,1792,23,1769,65.00
5347,1792,22,1770,60.00
2614,1798,23,1775,66.00
1428,1796,42,1754,63.00
1422,1796,27,1769,64.00
6894,1793,13,1780,54.00
378,1794,20,1774,64.00
1423,1796,30,1766,55.00
5300,1792,19,1773,64.00
1511,1797,24,1773,65.00
2649,1798,22,1776,64.00
8501,1794,23,1771,52.00
8515,1794,25,1769,52.00
5093,1791,25,1766,60.00
3836,1801,20,1781,64.00
3803,1801,19,1782,56.00
7965,1793,27,1766,60.00
22,1794,40,1754,64.00
1516,1797,14,1783,51.00
2651,1798,12,1786,66.00
6296,1792,10,1782,70.00
5901,1792,22,1770,60.00
412,1794,28,1766,60.00
1406,1796,23,1773,63.00
3834,1801,30,1771,66.00
3822,1801,26,1775,66.00
1409,1796,25,1771,60.00
7922,1793,23,1770,63.00
4899,1791,40,1751,66.00
3855,1801,55,1746,60.00
1420,1795,19,1776,63.00
2568,1797,31,1766,62.00
1509,1797,32,1765,62.00
6989,1793,11,1782,57.00
3846,1801,29,1772,64.00
3888,1801,29,1772,63.00
5315,1792,38,1754,63.00
1008,1795,19,1776,61.00
6225,1792,20,1772,62.00
5619,1792,39,1753,61.00
3758,1800,14,1786,60.00
3757,1800,34,1766,65.00
3754,1799,26,1773,67.00
3780,1800,11,1789,48.00
4616,1791,52,1739,62.00
1468,1797,22,1775,65.00
1517,1797,16,1781,50.00
6039,1792,10,1782,58.00
8307,1794,20,1774,60.00
2586,1797,34,1763,66.00
3773,1800,18,1782,64.00
3772,1800,48,1752,65.00
5219,1792,45,1747,61.00
6448,1792,17,1775,60.00
7252,1793,22,1771,62.00
6181,1792,11,1781,59.00
315,1794,23,1771,60.00
3801,1801,14,1787,58.00
409,1794,24,1770,54.00
3774,1800,27,1773,64.00
7886,1793,21,1772,60.00
3852,1801,59,1742,66.00
5616,1792,39,1753,63.00
6130,1792,14,1778,51.00
3790,1800,32,1768,64.00
1499,1797,30,1767,65.00
8493,1794,31,1763,60.00
319,1794,33,1761,65.00
3753,1800,24,1776,65.00
3885,1801,23,1778,67.00
6832,1793,38,1755,63.00
300,1794,26,1768,65.00
3857,1801,18,1783,66.00
2604,1798,43,1755,66.00
8117,1793,20,1773,60.00
282,1793,20,1773,60.00
7577,1793,26,1767,60.00
2550,1797,20,1777,61.00
1479,1797,20,1777,61.00
3833,1801,35,1766,64.00
3794,1800,44,1756,60.00
3891,1801,32,1769,66.00
8732,1794,28,1766,60.00
534,1794,34,1760,61.00
3746,1800,29,1771,60.00
6849,1793,95,1698,59.00
5313,1792,21,1771,62.00
3767,1800,39,1761,66.00
6080,1792,17,1775,65.00
8452,1794,65,1729,60.00
3876,1801,20,1781,66.00
8823,1794,35,1759,65.00
6187,1792,43,1749,63.00
3779,1800,54,1746,56.00
1001,1795,34,1761,62.00
1416,1795,19,1776,54.00
7522,1793,20,1773,61.00
8598,1794,24,1770,62.00
2538,1796,28,1768,63.00
8074,1793,33,1760,63.00
3824,1801,38,1763,60.00
1403,1796,37,1759,61.00
5201,1792,20,1772,59.00
3748,1800,34,1766,60.00
8624,1794,24,1770,62.00
1427,1796,28,1768,63.00
6423,1792,36,1756,64.00
1500,1797,16,1781,64.00
1036,1795,30,1765,62.00
1453,1797,45,1752,66.00
2548,1797,40,1757,66.00
1495,1797,27,1770,66.00
1471,1797,40,1757,66.00
411,1794,27,1767,60.00
8808,1794,37,1757,60.00
1037,1795,17,1778,62.00
8508,1794,29,1765,61.00
554,1794,21,1773,62.00
553,1794,19,1775,63.00
3792,1800,48,1752,63.00
6117,1792,36,1756,64.00
5323,1792,42,1750,67.00
1484,1797,25,1772,66.00
410,1794,19,1775,60.00
7936,1793,30,1763,64.00
46,1794,18,1776,60.00
8554,1794,22,1772,63.00
6877,1793,20,1773,62.00
1027,1795,20,1775,66.00
3862,1801,21,1780,64.00
8378,1794,22,1772,50.00
365,1794,32,1762,63.00
558,1794,19,1775,62.00
3776,1800,24,1776,68.00
6134,1792,34,1758,64.00
4642,1791,25,1766,63.00
3960,1801,40,1761,58.00
8478,1794,40,1754,64.00
3948,1800,21,1779,61.00
3962,1801,21,1780,60.00
7124,1793,30,1763,62.00
177,1794,31,1763,62.00
3920,1800,27,1773,66.00
2736,1798,26,1772,65.00
3902,1798,28,1770,66.50
7831,1793,50,1743,60.00
7475,1793,50,1743,60.00
3912,1799,38,1761,65.00
7424,1793,28,1765,64.00
2683,1797,25,1772,58.00
5164,1792,21,1771,63.00
6613,1792,22,1770,66.00
6056,1792,28,1764,40.00
7466,1793,20,1773,60.00
4991,1791,28,1763,63.00
7351,1793,31,1762,62.00
6659,1792,52,1740,63.00
4883,1791,21,1770,62.00
6566,1792,25,1767,62.00
7800,1793,31,1762,62.00
1569,1797,30,1767,62.00
4778,1791,23,1768,60.00
1579,1797,30,1767,63.00
2731,1798,22,1776,63.00
1621,1797,30,1767,62.50
2737,1798,60,1738,53.00
71,1794,25,1769,62.00
1572,1797,24,1773,63.00
6128,1792,33,1759,62.00
455,1794,25,1769,62.00
6774,1793,27,1766,64.00
3900,1800,23,1777,62.00
1608,1797,25,1772,63.00
3944,1800,16,1784,62.00
3990,1801,40,1761,38.00
3910,1800,37,1763,64.00
4008,1801,48,1753,57.00
4017,1801,25,1776,37.00
2746,1798,26,1772,66.00
4020,1801,22,1779,64.00
1549,1796,25,1771,64.00
2688,1797,25,1772,58.00
2761,1798,23,1775,59.00
7125,1793,26,1767,64.00
1624,1797,43,1754,37.00
7669,1793,18,1775,63.00
1530,1795,25,1770,52.00
3992,1801,52,1749,63.00
1618,1797,28,1769,60.00
3919,1800,33,1767,61.00
7900,1793,29,1764,56.00
4884,1791,20,1771,61.00
3906,1800,15,1785,66.00
1620,1797,36,1761,67.00
5733,1792,45,1747,60.00
4003,1801,24,1777,60.00
7996,1793,30,1763,65.00
8729,1794,26,1768,65.00
5194,1792,56,1736,60.00
8547,1794,47,1747,54.00
5327,1792,32,1760,63.00
3901,1800,39,1761,60.00
8541,1794,21,1773,55.00
1626,1797,34,1763,59.00
6848,1793,22,1771,60.00
7446,1793,20,1773,68.00
1578,1797,45,1752,60.00
5337,1792,27,1765,62.00
1622,1797,30,1767,61.00
8250,1794,14,1780,48.00
7959,1793,57,1736,60.00
5676,1792,28,1764,64.00
8780,1794,36,1758,61.00
2658,1796,52,1744,62.00
1540,1796,52,1744,62.00
1560,1796,21,1775,63.00
1631,1797,28,1769,60.00
7055,1793,20,1773,64.00
6870,1793,25,1768,63.00
2686,1797,30,1767,66.00
1566,1797,28,1769,63.00
1561,1796,18,1778,60.00
5641,1792,21,1771,68.00
6413,1792,22,1770,63.00
602,1794,26,1768,51.00
6936,1793,30,1763,62.00
1006,1795,21,1774,53.00
3969,1801,38,1763,56.00
7641,1793,42,1751,63.00
3903,1796,27,1769,61.00
1548,1796,40,1756,63.00
2756,1798,43,1755,66.00
1574,1797,40,1757,60.00
1541,1796,35,1761,64.00
1554,1796,31,1765,37.00
4028,1801,32,1769,64.00
3980,1801,33,1768,66.00
1573,1797,33,1764,66.00
1586,1797,28,1769,63.00
7542,1793,24,1769,65.00
2768,1798,30,1768,65.00
2703,1798,37,1761,62.00
2699,1798,43,1755,65.00
164,1794,40,1754,65.00
4057,1800,44,1756,67.00
5108,1792,23,1769,64.00
407,1794,27,1767,62.00
100,1794,37,1757,61.00
1684,1797,26,1771,66.00
5713,1792,19,1773,63.00
2812,1798,22,1776,66.00
1679,1797,39,1758,68.00
6474,1792,27,1765,60.00
4035,1800,26,1774,61.00
5968,1792,19,1773,64.00
4107,1801,39,1762,69.00
2803,1798,50,1748,64.00
7076,1793,21,1772,63.00
7598,1793,25,1768,62.00
1642,1796,42,1754,64.00
4113,1801,48,1753,61.00
2820,1798,49,1749,64.00
1644,1796,22,1774,53.00
6304,1792,26,1766,64.00
6725,1792,29,1763,62.00
4844,1791,30,1761,62.00
4091,1801,16,1785,60.00
4069,1800,30,1770,66.00
2808,1798,54,1744,65.00
4100,1801,26,1775,64.00
6271,1792,11,1781,50.00
1673,1797,40,1757,66.00
1664,1797,24,1773,60.00
2805,1798,19,1779,64.00
2809,1798,16,1782,61.00
8046,1793,35,1758,64.00
8205,1794,22,1772,64.00
8616,1794,24,1770,64.00
114,1794,19,1775,54.00
1650,1796,28,1768,69.00
2780,1796,20,1776,69.00
1665,1797,49,1748,60.00
4036,1799,30,1769,49.00
4668,1791,63,1728,64.00
7353,1793,26,1767,60.00
5792,1792,16,1776,64.00
1675,1797,25,1772,62.00
1677,1797,21,1776,62.00
2802,1798,50,1748,60.00
4075,1801,32,1769,67.00
337,1794,36,1758,63.00
1658,1797,31,1766,65.00
2794,1797,30,1767,59.00
2814,1798,35,1763,60.00
5335,1792,42,1750,62.00
7455,1793,46,1747,60.00
1654,1796,22,1774,63.00
1661,1797,18,1779,67.00
6002,1792,11,1781,59.00
6966,1793,53,1740,62.00
6503,1792,15,1777,59.00
173,1794,25,1769,54.00
4144,1801,43,1758,66.00
1694,1797,24,1773,66.00
7998,1793,47,1746,50.00
4839,1791,14,1777,57.00
99,1794,25,1769,63.00
7199,1793,45,1748,62.00
7057,1793,18,1775,62.00
2834,1798,40,1758,64.00
4142,1801,24,1777,65.00
6681,1792,37,1755,68.00
283,1793,25,1768,64.00
8122,1793,25,1768,64.00
1708,1797,35,1762,65.00
4124,1801,24,1777,63.00
4717,1791,40,1751,58.00
8115,1793,39,1754,68.00
7923,1793,22,1771,61.00
4125,1801,26,1775,65.00
8001,1793,50,1743,52.00
1028,1795,19,1776,61.00
1687,1796,44,1752,63.00
1699,1797,30,1767,65.00
1701,1797,30,1767,68.00
5493,1792,22,1770,60.00
4119,1800,40,1760,61.00
2841,1798,31,1767,62.00
4115,1800,50,1750,62.00
2831,1798,21,1777,60.00
8499,1794,42,1752,63.00
5559,1792,27,1765,62.00
5939,1792,18,1774,64.00
4184,1801,31,1770,66.00
2858,1797,42,1755,63.00
7239,1793,27,1766,64.00
6875,1793,43,1750,63.00
2856,1797,29,1768,69.00
7575,1793,50,1743,65.00
7104,1793,21,1772,65.00
7318,1793,23,1770,63.00
4155,1800,25,1775,66.00
1728,1797,20,1777,63.00
225,1793,48,1745,62.00
1710,1793,48,1745,62.00
7462,1793,37,1756,64.00
2370,1797,33,1764,64.00
364,1794,16,1778,63.00
1023,1795,23,1772,61.00
2885,1798,25,1773,39.00
1714,1796,25,1771,64.00
123,1794,35,1759,63.00
6204,1792,47,1745,60.00
5991,1792,27,1765,63.00
4842,1791,29,1762,59.00
4179,1801,29,1772,58.00
4154,1798,30,1768,40.00
4186,1801,19,1782,65.00
6612,1792,22,1770,64.00
6893,1793,23,1770,54.00
4152,1799,39,1760,65.00
4176,1801,33,1768,62.00
590,1794,28,1766,63.00
2860,1798,30,1768,64.00
6504,1792,26,1766,60.00
6129,1792,31,1761,63.00
4148,1800,23,1777,60.00
4169,1801,31,1770,64.00
4170,1801,17,1784,63.00
7018,1793,46,1747,63.00
6715,1792,18,1774,62.00
73,1794,59,1735,64.00
6896,1793,34,1759,61.00
6245,1792,17,1775,62.00
2875,1798,16,1782,58.00
2869,1798,21,1777,62.00
4199,1799,49,1750,69.00
8,1794,54,1740,63.50
2916,1798,28,1770,62.00
1770,1797,32,1765,63.00
4235,1801,29,1772,66.00
4234,1801,29,1772,66.00
15,1794,34,1760,63.00
426,1794,34,1760,63.00
5207,1792,21,1771,64.00
1754,1797,44,1753,60.00
4231,1801,32,1769,62.00
4226,1801,26,1775,66.00
1738,1795,29,1766,67.00
4247,1801,49,1752,66.00
370,1794,19,1775,55.00
4252,1801,40,1761,60.00
7311,1793,18,1775,52.00
5336,1792,16,1776,62.00
4227,1801,42,1759,66.00
7094,1793,23,1770,60.00
4257,1801,26,1775,62.00
4265,1801,27,1774,65.00
1746,1796,30,1766,61.00
6733,1792,29,1763,62.00
2911,1797,33,1764,66.00
5845,1792,28,1764,60.00
8040,1793,27,1766,65.00
2928,1798,39,1759,65.00
4835,1791,40,1751,65.00
1739,1795,47,1748,66.00
4208,1798,39,1759,65.00
2934,1798,26,1772,63.00
5711,1792,30,1762,64.00
4259,1801,39,1762,62.00
7088,1793,24,1769,64.00
4272,1801,35,1766,52.00
165,1794,33,1761,63.00
486,1794,33,1761,63.00
1524,1796,25,1771,52.00
4210,1800,20,1780,57.00
5917,1792,22,1770,65.00
4248,1801,26,1775,65.00
4241,1801,26,1775,67.00
4195,1801,30,1771,66.00
8542,1794,21,1773,57.00
4732,1791,11,1780,59.00
7716,1792,26,1766,68.00
333,1794,30,1764,60.00
6051,1792,24,1768,66.00
4707,1790,27,1763,50.00
2657,1796,27,1769,60.00
1528,1796,27,1769,61.00
522,1794,19,1775,71.00
4222,1800,45,1755,68.00
5466,1792,20,1772,63.00
2948,1798,32,1766,60.00
2917,1798,41,1757,63.00
5480,1792,19,1773,60.00
4197,1799,23,1776,67.00
4200,1799,41,1758,64.00
8025,1793,28,1765,64.00
4251,1801,18,1783,55.00
7986,1793,20,1773,63.00
1737,1795,16,1779,60.00
8137,1793,21,1772,60.00
7657,1793,39,1754,64.00
2899,1797,36,1761,65.00
1741,1795,33,1762,64.00
4233,1801,59,1742,63.00
1771,1797,22,1775,62.00
4751,1791,18,1773,60.00
38,1794,40,1754,59.00
4202,1800,42,1758,60.00
357,1794,27,1767,54.00
7540,1793,24,1769,60.00
3044,1798,44,1754,64.00
1837,1797,23,1774,60.00
44,1794,36,1758,54.00
393,1794,31,1763,62.00
8726,1794,57,1737,62.00
6121,1792,25,1767,65.00
6515,1792,43,1749,64.00
5028,1791,20,1771,65.00
7630,1793,19,1774,62.00
4313,1801,24,1777,62.00
3012,1798,23,1775,61.00
3053,1798,29,1769,64.00
5289,1792,23,1769,68.00
4667,1791,24,1767,55.00
3046,1798,36,1762,61.00
4383,1801,29,1772,58.00
8047,1793,30,1763,60.00
1830,1797,32,1765,62.00
6124,1792,25,1767,62.00
4294,1800,20,1780,59.00
5080,1791,32,1759,61.00
5176,1792,32,1760,62.00
7623,1793,33,1760,66.00
1793,1796,43,1753,66.00
2955,1796,45,1751,66.00
1860,1797,18,1779,65.00
8342,1794,30,1764,63.00
6203,1792,34,1758,64.00
4284,1800,25,1775,63.00
6375,1792,33,1759,64.00
4886,1791,37,1754,66.00
4834,1791,19,1772,56.00
6728,1792,25,1767,54.00
7413,1793,27,1766,64.00
6091,1792,21,1771,63.00
6221,1792,49,1743,60.00
6219,1792,21,1771,60.00
7608,1793,60,1733,68.00
242,1793,60,1733,68.00
1859,1797,25,1772,65.00
5422,1792,30,1762,65.00
8369,1794,45,1749,56.00
8740,1794,32,1762,64.00
4276,1800,23,1777,65.00
5546,1792,19,1773,63.00
8709,1794,54,1740,62.00
3048,1798,24,1774,60.00
7520,1793,19,1774,62.00
8251,1794,19,1775,50.00
4363,1801,40,1761,60.00
1810,1796,19,1777,67.00
6980,1793,34,1759,60.00
4358,1801,34,1767,64.00
4921,1791,34,1757,64.00
4920,1791,30,1761,64.00
1777,1796,40,1756,61.00
4371,1801,26,1775,66.00
6904,1793,23,1770,60.00
5770,1792,20,1772,60.00
1878,1797,40,1757,61.00
1858,1797,19,1778,61.00
1787,1795,24,1771,63.00
1877,1797,33,1764,66.00
3040,1798,46,1752,66.00
7892,1793,30,1763,64.00
6937,1793,30,1763,62.00
7251,1793,18,1775,60.00
976,1795,24,1771,57.00
4330,1801,15,1786,57.00
2984,1798,28,1770,63.00
1819,1797,45,1752,63.00
4324,1801,26,1775,61.00
7203,1793,21,1772,62.00
2994,1798,46,1752,66.00
2995,1798,18,1780,66.50
1831,1797,22,1775,62.00
2977,1797,22,1775,67.00
7259,1793,33,1760,60.00
1778,1796,33,1763,63.00
5545,1792,19,1773,63.00
3035,1798,30,1768,65.00
981,1795,34,1761,63.00
7645,1793,11,1782,48.00
6721,1792,26,1766,64.00
4290,1800,48,1752,63.00
2954,1796,45,1751,64.00
1792,1796,45,1751,64.00
1826,1797,18,1779,60.00
4855,1791,46,1745,62.00
5307,1792,24,1768,60.00
7593,1793,22,1771,64.00
48,1794,24,1770,63.00
4277,1800,39,1761,65.00
1851,1797,37,1760,68.00
5731,1792,22,1770,60.00
3005,1798,39,1759,63.00
4384,1801,52,1749,61.00
4813,1791,21,1770,64.00
6660,1792,25,1767,66.00
4746,1791,40,1751,64.00
4352,1801,20,1781,60.00
1850,1797,38,1759,64.00
6252,1792,42,1750,62.00
2976,1797,40,1757,64.00
7260,1793,16,1777,63.00
80,1794,35,1759,52.00
5190,1792,40,1752,65.00
1805,1796,51,1745,65.00
1876,1797,24,1773,66.00
7348,1793,27,1766,64.00
1032,1795,29,1766,60.00
1795,1795,34,1761,55.00
4403,1800,31,1769,63.00
4402,1800,26,1774,63.00
3083,1798,36,1762,60.00
6729,1792,22,1770,63.00
7322,1793,19,1774,64.00
161,1794,18,1776,56.00
1901,1796,43,1753,54.00
5143,1792,26,1766,62.00
6883,1793,23,1770,64.00
5989,1792,21,1771,65.00
5308,1792,36,1756,63.00
7368,1793,17,1776,48.00
4396,1799,45,1754,66.00
565,1794,27,1767,62.00
3106,1798,24,1774,60.00
4419,1800,38,1762,59.00
3086,1798,23,1775,64.00
7837,1793,14,1779,59.00
3097,1798,25,1773,62.00
8308,1794,27,1767,62.00
